2023-04-12 12:33:24 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@70abf9b0{/api,null,AVAILABLE,@Spark}
2023-04-12 12:33:24 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@72fe8a4f{/jobs/job/kill,null,AVAILABLE,@Spark}
2023-04-12 12:33:24 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@2c16fadb{/stages/stage/kill,null,AVAILABLE,@Spark}
2023-04-12 12:33:24 INFO  SparkUI:57 - Bound SparkUI to 0.0.0.0, and started at http://michaels-mbp.3500.dhcp.asu.edu:4040
2023-04-12 12:33:24 INFO  Executor:57 - Starting executor ID driver on host michaels-mbp.3500.dhcp.asu.edu
2023-04-12 12:33:24 INFO  Utils:57 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 56043.
2023-04-12 12:33:24 INFO  NettyBlockTransferService:82 - Server created on michaels-mbp.3500.dhcp.asu.edu:56043
2023-04-12 12:33:24 INFO  BlockManager:57 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2023-04-12 12:33:24 INFO  BlockManagerMaster:57 - Registering BlockManager BlockManagerId(driver, michaels-mbp.3500.dhcp.asu.edu, 56043, None)
2023-04-12 12:33:24 INFO  BlockManagerMasterEndpoint:57 - Registering block manager michaels-mbp.3500.dhcp.asu.edu:56043 with 1048.8 MiB RAM, BlockManagerId(driver, michaels-mbp.3500.dhcp.asu.edu, 56043, None)
2023-04-12 12:33:24 INFO  BlockManagerMaster:57 - Registered BlockManager BlockManagerId(driver, michaels-mbp.3500.dhcp.asu.edu, 56043, None)
2023-04-12 12:33:24 INFO  BlockManager:57 - Initialized BlockManager: BlockManagerId(driver, michaels-mbp.3500.dhcp.asu.edu, 56043, None)
2023-04-12 12:33:24 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@2b037cfc{/metrics/json,null,AVAILABLE,@Spark}
2023-04-12 12:33:25 INFO  SharedState:57 - Setting hive.metastore.warehouse.dir ('null') to the value of spark.sql.warehouse.dir.
2023-04-12 12:33:25 INFO  SharedState:57 - Warehouse path is 'file:/Users/mpb/CSE%20598%20Data-Int%20Sys%20ML/ML%20Log%20Security/spark-warehouse'.
2023-04-12 12:33:25 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@439b15f2{/SQL,null,AVAILABLE,@Spark}
2023-04-12 12:33:25 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@74fab04a{/SQL/json,null,AVAILABLE,@Spark}
2023-04-12 12:33:25 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@3a37a501{/SQL/execution,null,AVAILABLE,@Spark}
2023-04-12 12:33:25 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@3a26ec8d{/SQL/execution/json,null,AVAILABLE,@Spark}
2023-04-12 12:33:25 INFO  ContextHandler:915 - Started o.s.j.s.ServletContextHandler@54e02f6a{/static/sql,null,AVAILABLE,@Spark}
2023-04-12 12:33:26 INFO  InMemoryFileIndex:57 - It took 47 ms to list leaf files for 1 paths.
2023-04-12 12:33:26 INFO  InMemoryFileIndex:57 - It took 2 ms to list leaf files for 1 paths.
2023-04-12 12:33:28 INFO  FileSourceStrategy:57 - Pushed Filters: 
2023-04-12 12:33:28 INFO  FileSourceStrategy:57 - Post-Scan Filters: (length(trim(value#0, None)) > 0)
2023-04-12 12:33:28 INFO  FileSourceStrategy:57 - Output Data Schema: struct<value: string>
2023-04-12 12:33:29 INFO  CodeGenerator:57 - Code generated in 349.643312 ms
2023-04-12 12:33:29 INFO  MemoryStore:57 - Block broadcast_0 stored as values in memory (estimated size 189.7 KiB, free 1048.6 MiB)
2023-04-12 12:33:29 INFO  MemoryStore:57 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 32.7 KiB, free 1048.6 MiB)
2023-04-12 12:33:29 INFO  BlockManagerInfo:57 - Added broadcast_0_piece0 in memory on michaels-mbp.3500.dhcp.asu.edu:56043 (size: 32.7 KiB, free: 1048.8 MiB)
2023-04-12 12:33:29 INFO  SparkContext:57 - Created broadcast 0 from csv at Main.scala:33
2023-04-12 12:33:29 INFO  FileSourceScanExec:57 - Planning scan with bin packing, max size: 134217728 bytes, open cost is considered as scanning 4194304 bytes.
2023-04-12 12:33:29 INFO  SparkContext:57 - Starting job: csv at Main.scala:33
2023-04-12 12:33:30 INFO  DAGScheduler:57 - Got job 0 (csv at Main.scala:33) with 1 output partitions
2023-04-12 12:33:30 INFO  DAGScheduler:57 - Final stage: ResultStage 0 (csv at Main.scala:33)
2023-04-12 12:33:30 INFO  DAGScheduler:57 - Parents of final stage: List()
2023-04-12 12:33:30 INFO  DAGScheduler:57 - Missing parents: List()
2023-04-12 12:33:30 INFO  DAGScheduler:57 - Submitting ResultStage 0 (MapPartitionsRDD[3] at csv at Main.scala:33), which has no missing parents
2023-04-12 12:33:30 INFO  MemoryStore:57 - Block broadcast_1 stored as values in memory (estimated size 11.6 KiB, free 1048.6 MiB)
2023-04-12 12:33:30 INFO  MemoryStore:57 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 5.8 KiB, free 1048.6 MiB)
2023-04-12 12:33:30 INFO  BlockManagerInfo:57 - Added broadcast_1_piece0 in memory on michaels-mbp.3500.dhcp.asu.edu:56043 (size: 5.8 KiB, free: 1048.8 MiB)
2023-04-12 12:33:30 INFO  SparkContext:57 - Created broadcast 1 from broadcast at DAGScheduler.scala:1478
2023-04-12 12:33:30 INFO  DAGScheduler:57 - Submitting 1 missing tasks from ResultStage 0 (MapPartitionsRDD[3] at csv at Main.scala:33) (first 15 tasks are for partitions Vector(0))
2023-04-12 12:33:30 INFO  TaskSchedulerImpl:57 - Adding task set 0.0 with 1 tasks resource profile 0
2023-04-12 12:33:30 INFO  TaskSetManager:57 - Starting task 0.0 in stage 0.0 (TID 0) (michaels-mbp.3500.dhcp.asu.edu, executor driver, partition 0, PROCESS_LOCAL, 4940 bytes) taskResourceAssignments Map()
2023-04-12 12:33:30 INFO  Executor:57 - Running task 0.0 in stage 0.0 (TID 0)
2023-04-12 12:33:30 INFO  FileScanRDD:57 - Reading File path: file:///Users/mpb/CSE%20598%20Data-Int%20Sys%20ML/ML%20Log%20Security/src/main/scala/fraud-detection/fraudTrain.csv, range: 0-134217728, partition values: [empty row]
2023-04-12 12:33:30 INFO  CodeGenerator:57 - Code generated in 18.525198 ms
2023-04-12 12:33:30 INFO  Executor:57 - Finished task 0.0 in stage 0.0 (TID 0). 1703 bytes result sent to driver
2023-04-12 12:33:30 INFO  TaskSetManager:57 - Finished task 0.0 in stage 0.0 (TID 0) in 321 ms on michaels-mbp.3500.dhcp.asu.edu (executor driver) (1/1)
